STRING_id	gene_symbol	ensembl_id	entrezgene	uniprot_id
9606.ENSP00000342609	ACER2	ENSG00000177076	340485	Q5QJU3
9606.ENSP00000434480	ACER3	ENSG00000078124	55331	Q9NUN7
9606.ENSP00000303211	ACHE	ENSG00000087085	43	P22303
9606.ENSP00000262710	ACIN1	ENSG00000100813	22985	Q9UKV3
9606.ENSP00000357103	ACKR1	ENSG00000213088	2532	Q16570
9606.ENSP00000272928	ACKR3	ENSG00000144476	57007	P25106
9606.ENSP00000249887	ACKR4	ENSG00000129048	51554	Q9NPB9
9606.ENSP00000253792	ACLY	ENSG00000131473	47	P53396
9606.ENSP00000348459	ACMSD	ENSG00000153086	130013	Q8TDX5
9606.ENSP00000309477	ACO1	ENSG00000122729	48	P21399
9606.ENSP00000216254	ACO2	ENSG00000100412	50	Q99798
9606.ENSP00000366682	ACOD1	ENSG00000102794	730249	A6NK06
9606.ENSP00000311224	ACOT1	ENSG00000184227	641371	Q86TX2
9606.ENSP00000360366	ACOT11	ENSG00000162390	26027	Q8WXI4
9606.ENSP00000303246	ACOT12	ENSG00000172497	134526	Q8WYK0
9606.ENSP00000230048	ACOT13	ENSG00000112304	55856	Q9NPJ3
9606.ENSP00000238651	ACOT2	ENSG00000119673	10965	P49753
9606.ENSP00000323071	ACOT4	ENSG00000177465	122970	Q8N9L9
9606.ENSP00000370531	ACOT6	ENSG00000205669	641372	Q3I5F7
9606.ENSP00000367086	ACOT7	ENSG00000097021	11332	O00154
9606.ENSP00000217455	ACOT8	ENSG00000101473	10005	O14734
9606.ENSP00000368605	ACOT9	ENSG00000123130	23597	Q9Y305
9606.ENSP00000293217	ACOX1	ENSG00000161533	51	Q15067
9606.ENSP00000307697	ACOX2	ENSG00000168306	8309	Q99424
9606.ENSP00000348775	ACOX3	ENSG00000087008	8310	O15254
9606.ENSP00000407761	ACOXL	ENSG00000153093	55289	Q9NUZ1
9606.ENSP00000272065	ACP1	ENSG00000143727	52	P24666
9606.ENSP00000256997	ACP2	ENSG00000134575	53	P11117
9606.ENSP00000270593	ACP4	ENSG00000142513	93650	Q9BZG2
9606.ENSP00000218758	ACP5	ENSG00000102575	54	P13686
9606.ENSP00000327557	ACP7	ENSG00000183760	390928	Q6ZNF0
9606.ENSP00000216139	ACR	ENSG00000100312	49	P10323
9606.ENSP00000229243	ACRBP	ENSG00000111644	84519	Q8NEB7
9606.ENSP00000432816	ACRV1	ENSG00000134940	56	P26436
9606.ENSP00000258873	ACSBG1	ENSG00000103740	23205	Q96GR2
9606.ENSP00000300441	ACSF2	ENSG00000167107	80221	Q96CM8
9606.ENSP00000320646	ACSF3	ENSG00000176715	197322	Q4G176
9606.ENSP00000281455	ACSL1	ENSG00000151726	2180	P33121
9606.ENSP00000350012	ACSL3	ENSG00000123983	2181	O95573
9606.ENSP00000339787	ACSL4	ENSG00000068366	2182	O60488
9606.ENSP00000348429	ACSL5	ENSG00000197142	51703	Q9ULC5
9606.ENSP00000296869	ACSL6	ENSG00000164398	23305	Q9UKU0
9606.ENSP00000301956	ACSM1	ENSG00000166743	116285	Q08AH1
9606.ENSP00000219054	ACSM2A	ENSG00000183747	123876	Q08AH3
9606.ENSP00000327453	ACSM2B	ENSG00000066813	348158	Q68CK6
9606.ENSP00000289416	ACSM3	ENSG00000005187	6296	Q53FZ2
9606.ENSP00000382349	ACSM4	ENSG00000215009	341392	P0C7M7
9606.ENSP00000327916	ACSM5	ENSG00000183549	54988	Q6NUN0
9606.ENSP00000340296	ACSM6	ENSG00000173124	142827	Q6P461
9606.ENSP00000316924	ACSS1	ENSG00000154930	84532	Q9NUB1
9606.ENSP00000253382	ACSS2	ENSG00000131069	55902	Q9NR19
9606.ENSP00000449535	ACSS3	ENSG00000111058	79611	Q9H6R3
9606.ENSP00000355645	ACTA1	ENSG00000143632	58	P68133
9606.ENSP00000224784	ACTA2	ENSG00000107796	59	P62736
9606.ENSP00000349960	ACTB	ENSG00000075624	60	P60709
9606.ENSP00000416706	ACTBL2	ENSG00000169067	345651	Q562R1
9606.ENSP00000290378	ACTC1	ENSG00000159251	70	P68032
9606.ENSP00000331514	ACTG1	ENSG00000184009	71	P63261
9606.ENSP00000295137	ACTG2	ENSG00000163017	72	P63267
9606.ENSP00000329647	ACTL10	ENSG00000182584	170487	Q5JWF8
9606.ENSP00000397552	ACTL6A	ENSG00000136518	86	O96019
9606.ENSP00000160382	ACTL6B	ENSG00000077080	51412	O94805
9606.ENSP00000334300	ACTL7A	ENSG00000187003	10881	Q9Y615
9606.ENSP00000363799	ACTL7B	ENSG00000148156	10880	Q9Y614
9606.ENSP00000364555	ACTL8	ENSG00000117148	81569	Q9H568
9606.ENSP00000316674	ACTL9	ENSG00000181786	284382	Q8TC94
9606.ENSP00000377941	ACTN1	ENSG00000072110	87	P12814
9606.ENSP00000355537	ACTN2	ENSG00000077522	88	P35609
9606.ENSP00000252699	ACTN4	ENSG00000130402	81	O43707
9606.ENSP00000254286	ACTR10	ENSG00000131966	55860	Q9NZ32
9606.ENSP00000358921	ACTR1A	ENSG00000138107	10121	P61163
9606.ENSP00000289228	ACTR1B	ENSG00000115073	10120	P42025
9606.ENSP00000367220	ACTR2	ENSG00000138071	10097	P61160
9606.ENSP00000263238	ACTR3	ENSG00000115091	10096	P61158
9606.ENSP00000256001	ACTR3B	ENSG00000133627	57180	Q9P1U1
9606.ENSP00000252071	ACTR3C	ENSG00000106526	653857	Q9C0K3
9606.ENSP00000243903	ACTR5	ENSG00000101442	79913	Q9H9F9
9606.ENSP00000188312	ACTR6	ENSG00000075089	64431	Q9GZN1
9606.ENSP00000336842	ACTR8	ENSG00000113812	93973	Q9H981
9606.ENSP00000360165	ACTRT1	ENSG00000123165	139741	Q8TDG2
9606.ENSP00000367658	ACTRT2	ENSG00000169717	140625	Q8TDY3
9606.ENSP00000333037	ACTRT3	ENSG00000184378	84517	Q9BYD9
9606.ENSP00000263640	ACVR1	ENSG00000115170	90	Q04771
