Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
TGM2	TGC	ENSG00000198959	Transglutaminase 2	P21980	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
THY1	CD90	ENSG00000154096	Thy-1 cell surface antigen	P04216	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TICAM1	MGC35334, PRVTIRB, TICAM-1, TRIF	ENSG00000127666	Toll like receptor adaptor molecule 1	Q8IUC6	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TIGD7	Sancho	ENSG00000140993	Tigger transposable element derived 7	Q6NT04	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TJP2	DFNA51, X104, ZO-2, ZO2	ENSG00000119139	Tight junction protein 2	Q9UDY2	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TLN1	ILWEQ, TLN	ENSG00000137076	Talin 1	Q9Y490	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TLR4	ARMD10, CD284, hToll, TLR-4	ENSG00000136869	Toll like receptor 4	O00206	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
TM2D2	BLP1	ENSG00000169490	TM2 domain containing 2	Q9BX73	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
TM4SF20	FLJ22800, TCCE518	ENSG00000168955	Transmembrane 4 L six family member 20	Q53R12	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
TM4SF4	il-TMP	ENSG00000169903	Transmembrane 4 L six family member 4	P48230	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
TM4SF5		ENSG00000142484	Transmembrane 4 L six family member 5	O14894	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
TMC5	FLJ13593	ENSG00000103534	Transmembrane channel like 5	Q6UXY8	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
TMEM101	FLJ23987, MGC4251	ENSG00000091947	Transmembrane protein 101	Q96IK0	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM107	MGC10744	ENSG00000179029	Transmembrane protein 107	Q6UX40	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM108	CT124, MGC3040	ENSG00000144868	Transmembrane protein 108	Q6UXF1	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
TMEM121B	CECR6	ENSG00000183307	Transmembrane protein 121B	Q9BXQ6	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
TMEM139	FLJ90586	ENSG00000178826	Transmembrane protein 139	Q8IV31	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM176B	LR8, MS4B2	ENSG00000106565	Transmembrane protein 176B	Q3YBM2	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TMEM183A	C1orf37	ENSG00000163444	Transmembrane protein 183A	Q8IXX5	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TMEM2		ENSG00000135048	Transmembrane protein 2	Q9UHN6	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TMEM218		ENSG00000150433	Transmembrane protein 218	A2RU14	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM222	C1orf160, DKFZP564D0478	ENSG00000186501	Transmembrane protein 222	Q9H0R3	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM229A		ENSG00000234224	Transmembrane protein 229A	B2RXF0	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
TMEM245	C9orf5, CG-2	ENSG00000106771	Transmembrane protein 245	Q9H330	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM254	bA369J21.6, C10orf57, FLJ13263	ENSG00000133678	Transmembrane protein 254	Q8TBM7	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
